agency_code_suffix,agency_name,status,note,source_standard
3392,中华人民共和国工业和信息化部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3400,兵器工业部,—,出自 GB/T4657—2021 表 B.5,GB/T 47277—2026 附录B表B.1
3410,航天工业部,—,出自 GB/T4657—2021 表 B.5,GB/T 47277—2026 附录B表B.1
3420,煤炭工业部,—,出自 GB/T4657—2021 表 B.3,GB/T 47277—2026 附录B表B.1
3430,石油工业部,—,出自 GB/T4657—2021 表 B.5,GB/T 47277—2026 附录B表B.1
3440,化学工业部,—,出自 GB/T4657—2021 表 B.3,GB/T 47277—2026 附录B表B.1
3450,纺织工业部,—,出自 GB/T4657—2021 表 B.4,GB/T 47277—2026 附录B表B.1
3460,轻工业部,—,出自 GB/T4657—2021 表 B.4,GB/T 47277—2026 附录B表B.1
3470,铁道部,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
3480,交通部,—,出自 GB/T4657—2021 表 B.7,GB/T 47277—2026 附录B表B.1
3481,中华人民共和国交通运输部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3490,邮电部,—,出自 GB/T4657—2021 表 B.3,GB/T 47277—2026 附录B表B.1
3560,劳动人事部,—,出自 GB/T4657—2021 表 B.5,GB/T 47277—2026 附录B表B.1
3561,中华人民共和国人力资源和社会保障部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3570,文化部,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
3590,广播电视部,—,出自 GB/T4657—2021 表 B.10,GB/T 47277—2026 附录B表B.1
3591,广播电影电视部,—,出自 GB/T4657—2021 表 B.3,GB/T 47277—2026 附录B表B.1
3600,中华人民共和国教育部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3601,国家教育委员会,—,出自 GB/T4657—2021 表 B.8,GB/T 47277—2026 附录B表B.1
3610,卫生部,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
3620,国家体育运动委员会,—,出自 GB/T4657—2021 表 B.3,GB/T 47277—2026 附录B表B.1
3630,国家计划生育委员会,—,出自 GB/T4657—2021 表 B.7,GB/T 47277—2026 附录B表B.1
3631,国家人口和计划生育委员会,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
3650,环境保护部,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
3660,中华人民共和国商务部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3670,中华人民共和国自然资源部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3680,中华人民共和国退役军人事务部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3690,中华人民共和国应急管理部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3700,中华人民共和国生态环境部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3710,中华人民共和国农业农村部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3720,中华人民共和国文化和旅游部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3730,中华人民共和国国家卫生健康委员会,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
4010,国家市场监督管理总局,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4020,国家新闻出版广电总局,—,,GB/T 47277—2026 附录B表B.1
4021,国家广播电视总局,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4030,国家国际发展合作署,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4040,国家医疗保障局,现行,司法部公开行业标准PDF表B.1复核,GB/T 47277—2026 附录B表B.1
4060,国家林业和草原局(国家公园管理局),现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4070,国家移民管理局(中华人民共和国出入境管理局),现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4080,中央广播电视总台,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4090,国家金融监督管理总局,现行,,GB/T 47277—2026 附录B表B.1
4100,国家统计局,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4110,国家物价局,—,出自 GB/T4657—2021 表 B.4,GB/T 47277—2026 附录B表B.1
4120,国家物资局,—,出自 GB/T4657—2021 表 B.5,GB/T 47277—2026 附录B表B.1
4130,国家建筑材料工业局,—,出自 GB/T4657—2021 表 B.3,GB/T 47277—2026 附录B表B.1
4140,国家工商行政管理局,—,出自 GB/T4657—2021 表 B.8,GB/T 47277—2026 附录B表B.1
4141,国家工商行政管理总局,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
4150,中华人民共和国海关总署,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4160,国家气象局,—,出自 GB/T4657—2021 表 B.9,GB/T 47277—2026 附录B表B.1
4161,中国气象局,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4170,中国民用航空局,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4171,中国民用航空总局,—,出自 GB/T4657—2021 表 B.7,GB/T 47277—2026 附录B表B.1
4180,国家海洋局,现行,出自 GB/T4657—2021表 B.1,GB/T 47277—2026 附录B表B.1
4190,国家地震局,—,出自 GB/T4657—2021 表 B.8,GB/T 47277—2026 附录B表B.1
4191,中国地震局,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4200,国家旅游局,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
4210,新闻出版署,—,出自 GB/T4657—2021 表 B.8,GB/T 47277—2026 附录B表B.1
4211,国家新闻出版总署,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
4220,国家技术监督局(国家质量技术监督局),—,出自 GB/T4657—2021 表 B.3,GB/T 47277—2026 附录B表B.1
4230,国家土地管理局,—,出自 GB/T4657—2021 表 B.3,GB/T 47277—2026 附录B表B.1
4240,国家质量监督检验检疫总局,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
4250,国家广播电影电视总局,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
4260,中国文字改革委员会,—,出自 GB/T4657—2021 表 B.10,GB/T 47277—2026 附录B表B.1
4261,国家语言文字工作委员会,现行,出自 GB/T4657—2021表 B.1,GB/T 47277—2026 附录B表B.1
4270,国务院宗教事务局,—,出自 GB/T4657—2021 表 B.8,GB/T 47277—2026 附录B表B.1
4271,国家宗教事务局,—,出自 GB/T4657—2021表 B.1,GB/T 47277—2026 附录B表B.1
4280,国家档案局,—,出自 GB/T4657—2021表 B.4,GB/T 47277—2026 附录B表B.1
4290,国务院参事室,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4300,国务院机关事务管理局,—,出自 GB/T4657—2021 表 B.6,GB/T 47277—2026 附录B表B.1
4301,国家机关事务管理局,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4310,国务院研究室,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4320,国家林业局,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
4330,国务院法制局,—,出自 GB/T4657—2021 表 B.8,GB/T 47277—2026 附录B表B.1
4331,国务院法制办公室,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
4340,中华人民共和国国务院办公厅,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4350,国务院侨务办公室,现行,出自 GB/T4657—2021表 B.1,GB/T 47277—2026 附录B表B.1
4360,国务院港澳办公室,—,出自 GB/T4657—2021 表 B.9,GB/T 47277—2026 附录B表B.1
4361,国务院港澳事务办公室,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4370,国务院特区办公室,—,出自 GB/T4657—2021 表 B.3,GB/T 47277—2026 附录B表B.1
4380,国务院外事办公室,—,出自 GB/T4657—2021 表 B.2,GB/T 47277—2026 附录B表B.1
4390,国务院台湾事务办公室,现行,出自 GB/T4657—2021表 B.4,GB/T 47277—2026 附录B表B.1
4400,国家外国专家局,现行,出自 GB/T4657—2021表 B.1,GB/T 47277—2026 附录B表B.1
4410,国务院经济体制改革办公室,—,出自 GB/T4657—2021 表 B.2,GB/T 47277—2026 附录B表B.1
4420,中华全国供销合作总社,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4430,国家邮政局,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4440,国家税务局,—,出自 GB/T4657—2021 表 B.9,GB/T 47277—2026 附录B表B.1
4441,国家税务总局,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4450,国家外汇管理局,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4460,国家黄金管理局,—,出自 GB/T4657—2021 表 B.4,GB/T 47277—2026 附录B表B.1
4470,国家矿产储量管理局,—,出自 GB/T4657—2021 表 B.4,GB/T 47277—2026 附录B表B.1
4480,国家国有资产管理局,—,出自 GB/T4657—2021 表 B.3,GB/T 47277—2026 附录B表B.1
4481,国务院国有资产监督管理委员会,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4490,国家粮食储备局,—,出自 GB/T4657—2021 表 B.8,GB/T 47277—2026 附录B表B.1
4491,国家粮食局,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
4492,国家粮食和物资储备局,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4501,国家安全生产监督管理总局,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
4510,国家体育总局,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4520,国家保密局,现行,出自 GB/T4657—2021表 B.4,GB/T 47277—2026 附录B表B.1
4530,国家文物局,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4540,国家版权局,现行,出自 GB/T4657—2021表 B.4,GB/T 47277—2026 附录B表B.1
4550,国家信访局,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4560,国家烟草专卖局,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4570,中国地质调查局,现行,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
4580,国家核安全局,—,出自 GB/T4657—2021表 B.3,GB/T 47277—2026 附录B表B.1
4590,国家铁路局,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4600,中国银行保险监督管理委员会,—,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4610,国家标准局,—,出自 GB/T4657—2021 表 B.5,GB/T 47277—2026 附录B表B.1
4620,国家计量局,—,出自 GB/T4657—2021 表 B.5,GB/T 47277—2026 附录B表B.1
4630,国家专利局,—,出自 GB/T4657—2021 表 B.8,GB/T 47277—2026 附录B表B.1
4631,国家知识产权局,现行,出自 GB/T4657—2021 表4,GB/T 47277—2026 附录B表B.1
4640,国家医药管理局,—,出自 GB/T4657—2021 表 B.8,GB/T 47277—2026 附录B表B.1
